,indemnity_amount,full_area,34kt_Winds,threefour_pct,50kt_Winds,fifity_pct,64kt_Winds,sixfour_pct,pcp,PlantedAcres,log_indemnity_amount,sqrt_indemnity_amount,reciprocal_indemnity_amount
0,103387.6,0.30850748249401566,0.30850748249401555,99.99999999999997,0.30850748249401555,99.99999999999997,0.0,0.0,29.37,25213.280000000002,11.546249983527652,321.5394221553556,9.672339816380301e-06
1,152313.6,0.19447726275489777,0.1944772627548978,100.00000000000003,0.1944772627548978,100.00000000000003,0.0,0.0,22.09,33677.91000000001,11.933703397716094,390.27375007807024,6.565401907643178e-06
2,40218.6,0.12874295161159033,0.12874295161159058,100.0000000000002,0.021117933524044716,16.403176453306926,0.0,0.0,15.09,8457.65,10.602109717976342,200.54575537766937,2.486411759733059e-05
3,9192255.2,0.26134468451400134,0.2613446845140015,100.00000000000007,0.2613446845140015,100.00000000000007,0.2612676313486993,99.97051665104829,30.98,150229.47000000003,16.033871970184972,3031.87321634662,1.0878723210382585e-07
4,58683.0,0.1490394200711617,0.14903942007116172,100.00000000000003,0.14903942007116172,100.00000000000003,0.0,0.0,16.04,22738.777000000002,10.979922396259534,242.24574299665207,1.7040710256803505e-05
5,0.0,0.170716195299825,0.170716195299825,100.0,0.15561995177121202,91.15711107425994,0.0,0.0,15.24,1024.3799999999999,0.0,0.0,inf
6,125236.0,0.23946171797200072,0.23946171797200042,99.99999999999987,0.23946171797200042,99.99999999999987,0.0,0.0,28.53,3588.48,11.737963221145137,353.8869876104517,7.984924462614584e-06
7,0.0,0.19946995332700004,0.19946995332699985,99.9999999999999,0.19946995332699985,99.9999999999999,0.0,0.0,27.57,9745.699999999999,0.0,0.0,inf
8,0.0,0.2552206000306776,0.2552206000306776,100.0,0.2552206000306776,100.0,0.0,0.0,20.83,2151.99,0.0,0.0,inf
9,0.0,0.30381480196665833,0.303814801966658,99.99999999999989,0.303814801966658,99.99999999999989,0.0,0.0,25.55,16610.34,0.0,0.0,inf
10,0.0,0.2797631497895323,0.279763149789532,99.99999999999987,0.0,0.0,0.0,0.0,16.2,38430.509999999995,0.0,0.0,inf
11,26090.0,0.15007099531549986,0.1500709953155,100.00000000000009,0.0,0.0,0.0,0.0,16.5,29327.1,10.169345706257875,161.5239920259526,3.8328861632809504e-05
12,0.0,0.20462430738699994,0.20462430738700013,100.00000000000009,0.0037390427096734716,1.8272720173962178,0.0,0.0,16.87,430.84999999999997,0.0,0.0,inf
13,80220656.0,0.4700534324828943,0.4700534324828936,99.99999999999986,0.4700534324828936,99.99999999999986,0.24846055277436394,52.85793818416711,23.65,0.0,18.200291608250204,8956.598461469623,1.246561733426862e-08
14,842196.0,0.2106618752634998,0.2106618752634995,99.99999999999986,0.2106618752634995,99.99999999999986,0.0988734006139144,46.93464372243042,28.17,188738.52000000002,13.643769232604356,917.7123732412024,1.187372060660464e-06
15,1867170.0,0.3580984354615003,0.35809843546149944,99.99999999999977,0.35809843546149944,99.99999999999977,0.0,0.0,28.32,143518.12999999998,14.43993500911704,1366.444290851259,5.355698731234971e-07
16,0.0,0.18188652771013697,0.043133675313280176,23.714607044464586,0.0,0.0,0.0,0.0,20.99,29729.960000000003,0.0,0.0,inf
17,0.0,0.137173569361739,0.13717356936173894,99.99999999999996,0.03354708568757474,24.455939904215853,0.0,0.0,15.76,6.07,0.0,0.0,inf
18,8328.0,0.08577329896450005,0.08577329896450009,100.00000000000004,0.08577329896450009,100.00000000000004,0.0,0.0,28.13,42975.69,9.02749867993534,91.25787637239867,0.00012007684918347742
19,39486.0,0.12627481487232584,0.1262748148723255,99.99999999999973,0.1262748148723255,99.99999999999973,0.0,0.0,19.81,20436.24,10.583726782795289,198.7108451997525,2.5325431798612168e-05
20,50759.0,0.11905403231558585,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,26.22,15163.86,10.834863921828324,225.2975809901207,1.970093973482535e-05
21,6580090.0,0.20852422236735632,0.20852422236735627,99.99999999999997,0.20852422236735627,99.99999999999997,0.2055637484384838,98.5802733633232,34.24,1729.0,15.699559132993103,2565.168610442596,1.5197360522424465e-07
22,88946.0,0.13967475545750077,0.1396747554575008,100.00000000000003,0.0,0.0,0.0,0.0,17.35,17846.23,11.395795965712404,298.23815986556787,1.1242776516088413e-05
23,848424.0,0.2767664128294985,0.27676641282949865,100.00000000000007,0.27676641282949865,100.00000000000007,0.042297726820165714,15.28282510429586,28.76,35767.96000000001,13.651136968470952,921.0993431764025,1.1786559550413473e-06
24,0.0,0.15293706290591028,0.15293706290590986,99.99999999999972,0.13746301923988938,89.88208392916451,0.0,0.0,16.37,1170.87,0.0,0.0,inf
25,5294.0,0.1741229504881722,0.17412295048817214,99.99999999999997,0.17412295048817214,99.99999999999997,0.0,0.0,18.01,52521.329999999994,8.574518258035507,72.75987905432498,0.00018889308651303362
26,0.0,0.2800193150624217,0.08212231585241583,29.327375446979143,0.0,0.0,0.0,0.0,18.32,59654.71999999999,0.0,0.0,inf
27,387252.0,0.2575102270865995,0.2575102270865991,99.99999999999984,0.2575102270865991,99.99999999999984,0.1456515366541778,56.56145711261241,29.09,39183.97999999999,12.866833505182614,622.2957496239228,2.5822978319027403e-06
28,0.0,0.1632495371913367,0.16324953719133653,99.9999999999999,0.16324953719133653,99.9999999999999,0.0,0.0,23.98,7875.79,0.0,0.0,inf
29,468800.65,0.27831703270274954,0.27831703270274927,99.9999999999999,0.27831703270274927,99.9999999999999,0.0,0.0,29.68,62900.48,13.05793503686332,684.6901854123513,2.1331028444606463e-06
