,COUNTYFP,NAME,full_area,34kt Winds,34kt_pct,50kt Winds,50kt_pct,64kt Winds,64kt_pct,indemnity_amount,pcp,PlantedAcres,NotPlantedAcres,TotalAcres
0,009,Brevard,0.30850748249401566,0.30850748249401555,99.99999999999997,0.30850748249401555,99.99999999999997,0.0,0.0,103387.6,22.74,25213.280000000002,26001.0,51214.28
1,023,Columbia,0.19447726275489777,0.1944772627548978,100.00000000000003,0.1944772627548978,100.00000000000003,0.0,0.0,152313.6,13.49,33677.91000000001,3543.1,37221.01000000001
2,039,Gadsden,0.12874295161159033,0.12874295161159058,100.0000000000002,0.021117933524044716,16.403176453306926,0.0,0.0,40218.6,9.87,8457.65,40.63,8498.279999999999
3,055,Highlands,0.26134468451400134,0.2613446845140015,100.00000000000007,0.2613446845140015,100.00000000000007,0.2612676313486991,99.97051665104821,9192255.2,23.62,150229.47000000003,28967.030000000002,179196.50000000003
4,065,Jefferson,0.1490394200711617,0.14903942007116172,100.00000000000003,0.14903942007116172,100.00000000000003,0.0,0.0,58683.0,10.91,22738.777000000002,2321.2000000000003,25059.977000000003
5,073,Leon,0.170716195299825,0.170716195299825,100.0,0.15561995177121202,91.15711107425994,0.0,0.0,0.0,10.12,1024.3799999999999,765.4200000000001,1789.8
6,095,Orange,0.23946171797200072,0.23946171797200042,99.99999999999987,0.23946171797200042,99.99999999999987,0.0,0.0,125236.0,19.61,3588.48,0.0,3588.48
7,107,Putnam,0.19946995332700004,0.19946995332699985,99.9999999999999,0.19946995332699985,99.9999999999999,0.0,0.0,0.0,18.71,9745.699999999999,141.45000000000002,9887.15
8,123,Taylor,0.2552206000306776,0.2552206000306776,100.0,0.2552206000306776,100.0,0.0,0.0,0.0,14.54,2151.99,100.0,2251.99
9,127,Volusia,0.30381480196665833,0.303814801966658,99.99999999999989,0.303814801966658,99.99999999999989,0.0,0.0,0.0,18.4,16610.34,18913.0,35523.34
10,131,Walton,0.2797631497895323,0.279763149789532,99.99999999999987,0.0,0.0,0.0,0.0,0.0,11.73,38430.509999999995,105.0,38535.509999999995
11,133,Washington,0.15007099531549986,0.1500709953155,100.00000000000009,0.0,0.0,0.0,0.0,26090.0,10.99,29327.1,432.94,29760.039999999997
12,077,Liberty,0.20462430738699994,0.20462430738700013,100.00000000000009,0.0037390427096734716,1.8272720173962178,0.0,0.0,0.0,10.35,430.84999999999997,10351.58,10782.43
13,086,Miami-Dade,0.4700534324828943,0.4700534324828936,99.99999999999986,0.4700534324828936,99.99999999999986,0.29728460103648896,63.244852710932484,80220656.0,16.89,13864.789999999995,6.47,13871.259999999995
14,093,Okeechobee,0.2106618752634998,0.2106618752634995,99.99999999999986,0.2106618752634995,99.99999999999986,0.09887340061391431,46.934643722430366,842196.0,21.81,188738.52000000002,8005.63,196744.15000000002
15,097,Osceola,0.3580984354615003,0.35809843546149944,99.99999999999977,0.35809843546149944,99.99999999999977,0.0,0.0,1867170.0,20.87,143518.12999999998,15.35,143533.47999999998
16,033,Escambia,0.18188652771013697,0.11150215497197075,61.30314123631294,0.0,0.0,0.0,0.0,0.0,16.16,29729.960000000003,35.0,29764.960000000003
17,037,Franklin,0.137173569361739,0.13717356936173894,99.99999999999996,0.03354708568757474,24.455939904215853,0.0,0.0,0.0,10.14,6.07,1.42,7.49
18,041,Gilchrist,0.08577329896450005,0.08577329896450009,100.00000000000004,0.08577329896450009,100.00000000000004,0.0,0.0,8328.0,17.22,42975.69,142.89,43118.58
19,047,Hamilton,0.12627481487232584,0.1262748148723255,99.99999999999973,0.1262748148723255,99.99999999999973,0.0,0.0,39486.0,14.16,20436.24,3502.8599999999997,23939.100000000002
20,053,Hernando,0.11905403231558585,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,50759.0,18.89,15163.86,7.73,15171.59
21,071,Lee,0.20852422236735632,0.20852422236735627,99.99999999999997,0.20852422236735627,99.99999999999997,0.20852422236735627,99.99999999999997,6580090.0,24.02,1729.0,1252.0,2981.0
22,013,Calhoun,0.13967475545750077,0.1396747554575008,100.00000000000003,0.0,0.0,0.0,0.0,88946.0,10.86,17846.23,1612.2200000000003,19458.45
23,069,Lake,0.2767664128294985,0.27676641282949865,100.00000000000007,0.27676641282949865,100.00000000000007,0.04230119658051507,15.284078782556126,848424.0,19.76,35767.96000000001,7559.48,43327.44
24,129,Wakulla,0.15293706290591028,0.15293706290590986,99.99999999999972,0.13746301923988938,89.88208392916451,0.0,0.0,0.0,10.79,1170.87,7031.0,8201.869999999999
25,079,Madison,0.1741229504881722,0.17412295048817214,99.99999999999997,0.17412295048817214,99.99999999999997,0.0,0.0,5294.0,13.12,52521.329999999994,1902.87,54424.2
26,113,Santa Rosa,0.2800193150624217,0.27962037147517527,99.85752997533133,0.0,0.0,0.0,0.0,0.0,14.64,59654.71999999999,0.0,59654.71999999999
27,057,Hillsborough,0.2575102270865995,0.2575102270865991,99.99999999999984,0.2575102270865991,99.99999999999984,0.2575102270865991,99.99999999999984,387252.0,19.01,39183.97999999999,22.0,39205.97999999999
28,089,Nassau,0.1632495371913367,0.16324953719133653,99.9999999999999,0.16324953719133653,99.9999999999999,0.0,0.0,0.0,16.56,7875.79,118.98,7994.7699999999995
29,075,Levy,0.27831703270274954,0.27831703270274927,99.9999999999999,0.27831703270274927,99.9999999999999,0.0,0.0,468800.65,18.03,62900.48,2.1,62902.58
30,045,Gulf,0.13802462990672557,0.13802462990672557,100.0,0.0,0.0,0.0,0.0,0.0,10.24,215.69,3166.0,3381.69
31,105,Polk,0.47748581200300116,0.47748581200300083,99.99999999999993,0.47748581200300083,99.99999999999993,0.3510383495335035,73.51806916752892,9769025.1,19.92,119883.35399999996,4.4,119887.75399999996
