,STATEFP,COUNTYFP,NAME,full_area,34kt Winds,34kt_pct,50kt Winds,50kt_pct,64kt Winds,64kt_pct,total_premium,indemnity_amount,net_planted_quantity,liability,net_determined_quantity,pcp,PlantedAcres
0,12,009,Brevard,0.30850748249401566,0.30850748249401555,99.99999999999997,0.30850748249401555,99.99999999999997,0.0,0.0,8918.4,103387.6,79.25,183259.7,79.25,29.37,25213.280000000002
1,12,023,Columbia,0.19447726275489777,0.1944772627548978,100.00000000000003,0.1944772627548978,100.00000000000003,0.0,0.0,32304.6,152313.6,685.9540000000001,274938.5,785.9540000000001,22.09,33677.91000000001
2,12,039,Gadsden,0.12874295161159033,0.12874295161159058,100.0000000000002,0.021117933524044716,16.403176453306926,0.0,0.0,11689.699999999999,40218.6,528.29,122543.0,532.62,15.09,8457.65
3,12,055,Highlands,0.26134468451400134,0.2613446845140015,100.00000000000007,0.2613446845140015,100.00000000000007,0.2612676313486993,99.97051665104829,720777.4,9192255.2,24404.12,26438805.2,24401.02,30.98,150229.47000000003
4,12,065,Jefferson,0.1490394200711617,0.14903942007116172,100.00000000000003,0.14903942007116172,100.00000000000003,0.0,0.0,32431.0,58683.0,1701.0,323692.0,153.7,16.04,22738.777000000002
5,12,073,Leon,0.170716195299825,0.170716195299825,100.0,0.15561995177121202,91.15711107425994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24,1024.3799999999999
6,12,095,Orange,0.23946171797200072,0.23946171797200042,99.99999999999987,0.23946171797200042,99.99999999999987,0.0,0.0,13616.0,125236.0,58.1,574572.0,58.1,28.53,3588.48
7,12,107,Putnam,0.19946995332700004,0.19946995332699985,99.9999999999999,0.19946995332699985,99.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.57,9745.699999999999
8,12,123,Taylor,0.2552206000306776,0.2552206000306776,100.0,0.2552206000306776,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,2151.99
9,12,127,Volusia,0.30381480196665833,0.303814801966658,99.99999999999989,0.303814801966658,99.99999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55,16610.34
10,12,131,Walton,0.2797631497895323,0.279763149789532,99.99999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,38430.509999999995
11,12,133,Washington,0.15007099531549986,0.1500709953155,100.00000000000009,0.0,0.0,0.0,0.0,4385.0,26090.0,51.2,29510.0,51.2,16.5,29327.1
12,12,077,Liberty,0.20462430738699994,0.20462430738700013,100.00000000000009,0.0037390427096734716,1.8272720173962178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.87,430.84999999999997
13,12,086,Miami-Dade,0.4700534324828943,0.4700534324828936,99.99999999999986,0.4700534324828936,99.99999999999986,0.24846055277436394,52.85793818416711,9473259.5,80220656.0,860.65,170839507.25,861.0,23.65,0.0
14,12,093,Okeechobee,0.2106618752634998,0.2106618752634995,99.99999999999986,0.2106618752634995,99.99999999999986,0.0988734006139144,46.93464372243042,108462.0,842196.0,1728.3,2661017.0,1722.6,28.17,188738.52000000002
15,12,097,Osceola,0.3580984354615003,0.35809843546149944,99.99999999999977,0.35809843546149944,99.99999999999977,0.0,0.0,158830.0,1867170.0,2949.6,4412535.0,2949.6,28.32,143518.12999999998
16,12,033,Escambia,0.18188652771013697,0.043133675313280176,23.714607044464586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,29729.960000000003
17,12,037,Franklin,0.137173569361739,0.13717356936173894,99.99999999999996,0.03354708568757474,24.455939904215853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.76,6.07
18,12,041,Gilchrist,0.08577329896450005,0.08577329896450009,100.00000000000004,0.08577329896450009,100.00000000000004,0.0,0.0,10153.0,8328.0,37.5,45413.0,37.5,28.13,42975.69
19,12,047,Hamilton,0.12627481487232584,0.1262748148723255,99.99999999999973,0.1262748148723255,99.99999999999973,0.0,0.0,27580.0,39486.0,1202.5,563368.0,1202.5,19.81,20436.24
20,12,053,Hernando,0.11905403231558585,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,3381.0,50759.0,14.0,103581.0,14.0,26.22,15163.86
21,12,071,Lee,0.20852422236735632,0.20852422236735627,99.99999999999997,0.20852422236735627,99.99999999999997,0.2055637484384838,98.5802733633232,460518.0,6580090.0,6450.300000000001,15711196.11,6450.300000000001,34.24,1729.0
22,12,013,Calhoun,0.13967475545750077,0.1396747554575008,100.00000000000003,0.0,0.0,0.0,0.0,49411.0,88946.0,861.3,322006.0,861.3,17.35,17846.23
23,12,069,Lake,0.2767664128294985,0.27676641282949865,100.00000000000007,0.27676641282949865,100.00000000000007,0.042297726820165714,15.28282510429586,64426.0,848424.0,925.4,3185121.0,925.4,28.76,35767.96000000001
24,12,129,Wakulla,0.15293706290591028,0.15293706290590986,99.99999999999972,0.13746301923988938,89.88208392916451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.37,1170.87
25,12,079,Madison,0.1741229504881722,0.17412295048817214,99.99999999999997,0.17412295048817214,99.99999999999997,0.0,0.0,1471.0,5294.0,44.85,15128.0,44.85,18.01,52521.329999999994
26,12,113,Santa Rosa,0.2800193150624217,0.08212231585241583,29.327375446979143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32,59654.71999999999
