GEOID,hurricane_id,area_34kt,count_34kt_intersects,area_50kt,count_50kt_intersects,area_64kt,count_64kt_intersects,area_cat1,count_cat1_intersects,area_cat2,count_cat2_intersects,area_cat3,count_cat3_intersects,area_cat4,count_cat4_intersects,hurricane_category
37041,AL182012,1.0,8,,,,,,,,,,,,,TS
37047,AL182012,0.8840166847474238,5,,,,,,,,,,,,,TS
37049,AL182012,1.0000000000000002,10,,,,,,,,,,,,,TS
37051,AL182012,1.000000000000002,5,,,,,,,,,,,,,TS
37053,AL182012,0.9999999999999997,9,0.9999999999999997,2.0,,,,,,,,,,,TS
37055,AL182012,1.0000000000000004,14,0.10700134736764617,2.0,,,,,,,,,,,TS
37057,AL182012,0.11977269730824089,3,,,,,,,,,,,,,TS
37061,AL182012,0.9999999999999996,7,,,,,,,,,,,,,TS
37063,AL182012,0.9999999999999988,5,,,,,,,,,,,,,TS
37065,AL182012,0.9999999999999991,7,,,,,,,,,,,,,TS
37067,AL182012,0.5067994233125075,3,,,,,,,,,,,,,TS
37069,AL182012,0.9999999999999989,5,,,,,,,,,,,,,TS
37073,AL182012,0.9999999999999997,7,,,,,,,,,,,,,TS
37077,AL182012,1.0000000000000004,5,,,,,,,,,,,,,TS
37079,AL182012,0.9999999999999998,7,,,,,,,,,,,,,TS
37081,AL182012,0.9999999999999999,4,,,,,,,,,,,,,TS
37083,AL182012,0.9999999999999997,7,,,,,,,,,,,,,TS
37085,AL182012,1.000000000000001,5,,,,,,,,,,,,,TS
37091,AL182012,0.9999999999999994,7,,,,,,,,,,,,,TS
37093,AL182012,1.0,4,,,,,,,,,,,,,TS
37095,AL182012,0.9999999999999984,13,,,,,,,,,,,,,TS
37101,AL182012,0.9999999999999982,5,,,,,,,,,,,,,TS
37103,AL182012,1.0000000000000002,9,,,,,,,,,,,,,TS
37105,AL182012,0.9999999999999998,4,,,,,,,,,,,,,TS
37107,AL182012,1.0000000000000004,7,,,,,,,,,,,,,TS
37117,AL182012,0.9999999999999984,7,,,,,,,,,,,,,TS
37123,AL182012,0.052165229027401616,3,,,,,,,,,,,,,TS
37125,AL182012,0.9584013016173313,4,,,,,,,,,,,,,TS
37127,AL182012,0.9999999999999996,6,,,,,,,,,,,,,TS
37129,AL182012,1.0,7,,,,,,,,,,,,,TS
37131,AL182012,0.9999999999999971,7,,,,,,,,,,,,,TS
37133,AL182012,1.0000000000000002,8,,,,,,,,,,,,,TS
37135,AL182012,0.9999999999999999,4,,,,,,,,,,,,,TS
37137,AL182012,1.0000000000000004,11,,,,,,,,,,,,,TS
37139,AL182012,0.9999999999999986,9,0.07049941623929709,1.0,,,,,,,,,,,TS
37141,AL182012,1.0000000000000009,7,,,,,,,,,,,,,TS
37143,AL182012,1.0000000000000004,9,,,,,,,,,,,,,TS
37145,AL182012,0.9999999999999998,5,,,,,,,,,,,,,TS
37147,AL182012,0.9999999999999996,7,,,,,,,,,,,,,TS
37151,AL182012,0.8474554325589647,3,,,,,,,,,,,,,TS
37153,AL182012,0.012343176895984407,2,,,,,,,,,,,,,TS
37155,AL182012,0.6827621130456074,5,,,,,,,,,,,,,TS
37157,AL182012,1.0000000000000007,4,,,,,,,,,,,,,TS
37163,AL182012,0.9999999999999999,5,,,,,,,,,,,,,TS
37165,AL182012,0.1762179860166222,3,,,,,,,,,,,,,TS
37169,AL182012,0.8999895791454089,3,,,,,,,,,,,,,TS
37171,AL182012,0.015502167592993122,1,,,,,,,,,,,,,TS
37177,AL182012,0.9999999999999998,9,,,,,,,,,,,,,TS
37181,AL182012,0.9999999999999994,5,,,,,,,,,,,,,TS
37183,AL182012,1.0000000000000004,5,,,,,,,,,,,,,TS
37185,AL182012,0.9999999999999998,5,,,,,,,,,,,,,TS
37187,AL182012,0.9999999999999997,8,,,,,,,,,,,,,TS
37191,AL182012,0.9999999999999998,6,,,,,,,,,,,,,TS
37195,AL182012,1.0000000000000004,6,,,,,,,,,,,,,TS
39003,AL182012,1.0000000000000002,4,,,,,,,,,,,,,TS
39005,AL182012,1.0000000000000002,7,,,,,,,,,,,,,TS
39007,AL182012,0.9999999999999997,7,0.9999999999999997,1.0,,,,,,,,,,,TS
39009,AL182012,0.9999999999999994,3,,,,,,,,,,,,,TS
39011,AL182012,1.0000000000000004,4,,,,,,,,,,,,,TS
39013,AL182012,0.9999999999999992,5,0.5619095565179989,1.0,,,,,,,,,,,TS
39017,AL182012,0.7816421729960015,1,,,,,,,,,,,,,TS
39019,AL182012,1.0000000000000004,6,1.0000000000000004,1.0,,,,,,,,,,,TS
39021,AL182012,1.0000000000000002,3,,,,,,,,,,,,,TS
39023,AL182012,0.9999999999999998,2,,,,,,,,,,,,,TS
39027,AL182012,0.5160756484087615,1,,,,,,,,,,,,,TS
39029,AL182012,0.9999999999999994,7,0.9999999999999994,1.0,,,,,,,,,,,TS
39031,AL182012,1.0,5,0.8868331929175733,1.0,,,,,,,,,,,TS
39033,AL182012,0.9999999999999991,5,,,,,,,,,,,,,TS
39035,AL182012,0.9999999999999998,7,0.9525193590141399,1.0,,,,,,,,,,,TS
39037,AL182012,0.9999999999999994,3,,,,,,,,,,,,,TS
39039,AL182012,1.0,5,,,,,,,,,,,,,TS
39041,AL182012,1.0000000000000002,3,,,,,,,,,,,,,TS
39043,AL182012,1.0000000000000004,7,,,,,,,,,,,,,TS
39045,AL182012,1.0000000000000002,4,,,,,,,,,,,,,TS
39047,AL182012,0.8763839157698503,1,,,,,,,,,,,,,TS
39049,AL182012,0.9999999999999989,2,,,,,,,,,,,,,TS
39051,AL182012,1.0000000000000007,5,,,,,,,,,,,,,TS
39053,AL182012,0.20021969066661977,1,,,,,,,,,,,,,TS
39055,AL182012,1.0000000000000002,7,1.0000000000000002,1.0,,,,,,,,,,,TS
39057,AL182012,1.0000000000000004,2,,,,,,,,,,,,,TS
39059,AL182012,1.0,4,0.7402416182013333,1.0,,,,,,,,,,,TS
39063,AL182012,1.0,5,,,,,,,,,,,,,TS
39065,AL182012,1.0000000000000009,4,,,,,,,,,,,,,TS
39067,AL182012,1.0000000000000007,5,1.0000000000000007,1.0,,,,,,,,,,,TS
39069,AL182012,0.9999999999999999,5,,,,,,,,,,,,,TS
39073,AL182012,0.8699632033675753,3,,,,,,,,,,,,,TS
39075,AL182012,1.0000000000000004,6,0.8346590336399595,1.0,,,,,,,,,,,TS
39077,AL182012,1.0000000000000002,7,,,,,,,,,,,,,TS
39079,AL182012,0.2682948210970008,2,,,,,,,,,,,,,TS
39081,AL182012,0.9999999999999997,6,0.9999999999999997,1.0,,,,,,,,,,,TS
39083,AL182012,0.9999999999999994,5,,,,,,,,,,,,,TS
39085,AL182012,1.0,7,1.0,1.0,,,,,,,,,,,TS
39089,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
39091,AL182012,0.9999999999999989,4,,,,,,,,,,,,,TS
39093,AL182012,0.9999999999999996,7,0.0500216477982279,1.0,,,,,,,,,,,TS
39095,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
39097,AL182012,1.0000000000000002,2,,,,,,,,,,,,,TS
39099,AL182012,1.0000000000000002,8,1.0000000000000002,1.0,,,,,,,,,,,TS
39101,AL182012,0.9999999999999999,4,,,,,,,,,,,,,TS
39103,AL182012,0.9999999999999997,7,0.7793992786366492,1.0,,,,,,,,,,,TS
39105,AL182012,0.9315153033089909,2,,,,,,,,,,,,,TS
39107,AL182012,0.9999999999999987,4,,,,,,,,,,,,,TS
